Инженерно-техническая школа имени дважды Героя Советского Союза П. Р. Поповича;ул. 8 марта, д. 17
Карцевская школа;ул. Б. Афанасьевский переулок, д. 41
Курчатовская школа;ул. Маршала Конева, д. 10
Московская международная школа;ул. 3-я Владимирская улица, д. 5
Образовательный центр «Протон»;Филёвский бульвар, д. 3, корп. 2
Романовская школа;Большой Кондратьевский переулок, д. 3
Школа «Бескудниково»;Бескудниковский бульвар, д. 50а
Школа в Капотне;5-й квартал Капотня, д. 29
Школа имени Артёма Боровика;ул. Братиславская, д. 4
Школа имени В. В. Маяковского;ул. 1-я Дубровская, д. 16
Школа имени Ф. М. Достоевского;ул. Краснодонская, д. 2, корп. 4
Школа им. Н. М. Карамзина;Проезд Карамзина, д. 13, корп. 2
Школа «Интеграл»;ул. Кастанаевская, д. 10
Школа «Интеллектуал»;ул. Кременчугская, д. 11, стр. 4
Школа «Кузьминки»;Есенинский бульвар, д. 14, корп. 2
Школа Марьина Роща имени В. Ф. Орлова;ул. Двинцев, д. 10
Школа «Марьино» имени маршала авиации А. Е. Голованова;Батайский проезд, д. 21
Школа «Многопрофильный комплекс Бибирево»;ул. Конёнкова, д. 8а
Школа на проспекте Вернадского;проспект Вернадского, д.127 корп. 2
Школа на Юго-Востоке имени Маршала В. И. Чуйкова;Таможенный проезд, д. 4
Школа на Яузе;Кондрашёвский тупик, д. 3а
Школа Перспектива;ул. Синявинская, д. 11а
Школа «Покровский квартал»;Большой Казённый переулок, д. 9
Школа «Свиблово»;ул. Седова, д. 4, корп. 1
Школа «Содружество»;ул. Красноказарменная, д. 11
Школа «Спектр»;ул. Гурьянова, д. 33
Школа «Тропарёво»;ул. Академика Анохина, д. 48
Школа «Глория»;ул. Белозерская, д. 12
Школа «Новокосино»;ул. Суздальская, д. 24б
Спецшкола № 1[4];ул. Михалковская, д. 15а
Лицей «Вторая школа»;ул. Фотиевой, д. 18
Школа № 7[5];ул. Крупской, д. 17
Школа № 14[6];ул. Академика Анохина, д. 32
Школа № 15[7];ул. Херсонская, д. 27а
Школа № 17[8];ул. Введенского, д. 28
Школа № 30[9];ул. Олений Вал, д. 22
Школа № 31[10];ул. Молдагуловой, д. 6
Школа № 32[11];ул. Адмирала Лазарева, д. 53
Школа № 37[12];ул. Столетова, д. 3
Школа № 41[13] имени Григория Алексеевича Тарана;ул. Большая Внуковская, д. 4
Школа № 45[14] имени Л. И. Мильграма;ул. Гримау, д. 8
Школа № 46[15];ул. Обручева, д. 28а
Школа № 49[16];ул. Генерала Антонова, д. 5а
Школа № 51;Ленинский проспект, д. 125, корпус. 4
Школа № 56 имени академика В. А. Легасова;Кутузовский проспект, д. 22
Пятьдесят седьмая школа;Малый Знаменский переулок, д. 7/10, стр. 5
Школа № 58;ул. Твардовского, д. 12
Школа № 64;ул. Партизанская, д. 30, корп. 2, стр. 2
Школа № 67;Кутузовский проезд, д. 10
Школа № 69 имени Б. Ш. Окуджавы;ул. Кулакова, д. 2, корп. 2
Школа № 86 имени М. Е. Катукова;ул. Маршала Катукова, д. 12, корп. 3
Открытая (сменная) школа № 88;Средняя Калитниковская улица, д. 9-11, стр. 1
Школа № 89 имени А. П. Маресьева;ул. Кулакова, д. 12, корп. 2
Школа № 90 имени Героя Советского Союза Е. Г. Ларикова;4-й Новоподмосковный переулок, д. 2а
Школа № 91;ул. Поварская, д. 14
Школа № 97;ул. Кременчугская, д. 46
Школа № 109;ул. Академика Бакулева, д. 20
Школа № 113;ул. Профсоюзная, д. 118б
Школа № 117;ул. Академика Пилюгина, д. 18, корп. 1
Школа № 118;ул. Строителей, д. 15
Школа № 121;ул. Гарибальди, д. 28 корп. 3
Школа № 123;Хлыновский тупик, д. З, стр. 5
Школа № 138;ул. Генерала Глаголева, д. 10, корп. 2
Школа № 141 имени Героя Советского Союза Рихарда Зорге;ул. Зорге, д. 4
Школа № 149;ул. Врубеля, д. 6
Школа № 152;ул. 1-я Аэропортовская, д. 1
Школа № 158;Валдайский проезд, д. 14
Школа № 167 имени Маршала Л. А. Говорова;Ленинградское шоссе, д. 94а
Школа № 170 имени А. П. Чехова;ул. Профсоюзная, д. 96б
Школа № 171;ул. 2-я Фрунзенская, д. 7а
Школа № 179;ул. Большая Дмитровка, д. 5/6, стр. 7
Школа № 183;ул. Дубнинская, д. 59
